Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
2X1 1/2X2 CXCXC TEE EPC 10032984 (5/BX) (40/CASE) MUEL W 40109,ELKHART PRODUCTS CORP,EPC10033020(5/BX)(40/CASE),2X3/4X2 CXCXC TEE
2X3/4X2 CXCXC T EEEPC 10033020 (5/BX) (40/CASE) MUEL W 40248,ELKHART PRODUCTS CORP,EPC10032984(5/BX)(40/CASE),2X1 1/2X2 CXCXC TEE
2X3/4X2 CXCXC T EEEPC 10033020 (5/BX) (40/CASE) MUEL W 40248,ELKHART PRODUCTS CORP,EPC10033020(5/BX)(40/CASE),2X3/4X2 CXCXC TEE
2X2X1/2 CXCXC T EE EPC 10032982 MUEL W 40107,ELKHART PRODUCTS CORP,EPC10032982MUELW40107,2X2X1/2 CXCXC TEE
3X2X3 CXCXC TEE EPC 10033162 (1/BX) (10/CASE) MUEL W 40167,ELKHART PRODUCTS CORP,EPC10033162(1/BX)(10/CASE),3X2X3 CXCXC TEE
3X2X3 CXCXC TEE EPC 10033162 (1/BX) (10/CASE) MUEL W 40167,ELKHART PRODUCTS CORP,EPC10033162(1/BX)(10/CASE),3X2X3 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X1/2 CXCXC TEE EPC 10033140 (1/BX) (10/CASE) MUEL W 40145,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X2 CXCXC TEE EPC 10033130 MUEL W 40150,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033130MUELW40150,3X3X2 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033138MUELW40146,3X3X3/4 CXCXC TEE
3X3X3/4 CXCXC T EE EPC 10033138 MUEL W 40146,ELKHART PRODUCTS CORP,EPC10033140(1/BX)(10/CASE),3X3X1/2 CXCXC TEE
SP*00037334 3X3/4X3 CXCXC TEE EPC 10033232,ELKHART PRODUCTS CORP,3X3/4X3CXCXCTEE,SP*00037334
"3 CXC ADJ COMPA NION FLANGE 2PC 4 BOLT 150# EPC 10035828 CTS BF003, MUEL W 02802NL",ELKHART PRODUCTS CORP,2PC4BOLT150#EPC10035828,3 CXC ADJ COMPANION FLANGE
"SP*00037336 3""x7-1/2"" 150# FF O/S 1/8"" GARLOCK 98206 NSF61 EPDM GASKET",GASKET TECHNOLOGY INC,"3""X71/2""150#FFO/S1/8""",SP*00037336
"SP*00037337 3""X5-3/8"" 150# RING O/S 1/8""",GASKET TECHNOLOGY INC,"3""X53/8""150#RINGO/S1/8""",SP*00037337
2-3IN FLANGE BO LT KIT 4EA 5/8-11X3IN NUT & BOLT,VIKING BOLT INC,4EA5/811X3INNUT&BOLT,2-3IN FLANGE BOLT KIT
"SP*00037341 3"" 150# FLANGE ISO KIT NUNA-N FACED PHENOLIC GASKET W/ MYLAR SLEEVES & DOUBLE WASHERS",PUGET SOUND PIPE & SUPPLY PSP,"3""150#FLANGEISOKIT",SP*00037341
261 3 GALV RISER CLAMP 05000261ZH,ASC,05000261ZH,261  3    GALV RISER CLAMP
UPBA450 2 CXC BZ FP BALL VLV SWT 2PC LEAD FREE 0740UPBA4502,MILWAUKEE,0740UPBA4502,UPBA450 2 CXC BZ FP BALL VLV
UPBA-150 3/4 BZ 600 2PC SDR LL UPBA150/UPBA450 FULL PORT 0719UPBA150AB,MILWAUKEE,0719UPBA150AB,UPBA-150 3/4 BZ 600 2PC SDR LL
UPBA150H 3/4 SWTXHOSE BALL VLV 0740UPBA150HA34,MILWAUKEE,0740UPBA150HA34,UPBA150H 3/4 SWTXHOSE BALL VLV
